Link,Title,Authors,Abstract
https://doi.org/10.3390/agronomy14020259,Fostering Agricultural Transformation through AI: An Open-Source AI Architecture Exploiting the MLOps Paradigm,Antonio Carlos Cob-Parro; Yerhard Lalangui; Raquel Lazcano,"As the global population is expected to reach 10 billion by 2050, the agricultural sector faces the challenge of achieving an increase of 60% in food production without using much more land. This paper explores the potential of Artificial Intelligence (AI) to bridge this “land gap” and mitigate the environmental implications of agricultural land use. Typically, the problem with using AI in such agricultural sectors is the need for more specific infrastructure to enable developers to design AI and ML engineers to deploy these AIs. It is, therefore, essential to develop dedicated infrastructures to apply AI models that optimize resource extraction in the agricultural sector. This article presents an infrastructure for the execution and development of AI-based models using open-source technology, and this infrastructure has been optimized and tuned for agricultural environments. By embracing the MLOps culture, the automation of AI model development processes is promoted, ensuring efficient workflows, fostering collaboration among multidisciplinary teams, and promoting the rapid deployment of AI-driven solutions adaptable to changing field conditions. The proposed architecture integrates state-of-the-art tools to cover the entire AI model lifecycle, enabling efficient workflows for data scientists and ML engineers. Considering the nature of the agricultural field, it also supports diverse IoT protocols, ensuring communication between sensors and AI models and running multiple AI models simultaneously, optimizing hardware resource utilization. Surveys specifically designed and conducted for this paper with professionals related to AI show promising results. These findings demonstrate that the proposed architecture helps close the gap between data scientists and ML engineers, easing the collaboration between them and simplifying their work through the whole AI model lifecycle."
https://arxiv.org/abs/2405.09819,Automating the Training and Deployment of Models in MLOps by Integrating Systems with Machine Learning,Penghao Liang; Bo Song; Xiaoan Zhan; Zhou Chen; Jiaqiang Yuan,"This article introduces the importance of machine learning in real-world applications and explores the rise of MLOps (Machine Learning Operations) and its importance for solving challenges such as model deployment and performance monitoring. By reviewing the evolution of MLOps and its relationship to traditional software development methods, the paper proposes ways to integrate the system into machine learning to solve the problems faced by existing MLOps and improve productivity. This paper focuses on the importance of automated model training, and the method to ensure the transparency and repeatability of the training process through version control system. In addition, the challenges of integrating machine learning components into traditional CI/CD pipelines are discussed, and solutions such as versioning environments and containerization are proposed. Finally, the paper emphasizes the importance of continuous monitoring and feedback loops after model deployment to maintain model performance and reliability. Using case studies and best practices from Netflix, the article presents key strategies and lessons learned for successful implementation of MLOps practices, providing valuable references for other organizations to build and optimize their own MLOps practices."
https://doi.org/10.1109/TSE.2024.3367488,On the Understandability of MLOps System Architectures,Stephen John Warnett; Uwe Zdun,"Machine Learning Operations (MLOps) is the practice of streamlining and optimising the machine learning (ML) workflow, from development to deployment, using DevOps (software development and IT operations) principles and ML-specific activities. Architectural descriptions of MLOps systems often consist of informal textual descriptions and informal graphical system diagrams that vary considerably in consistency, quality, detail, and content. Such descriptions only sometimes follow standards or schemata and may be hard to understand. We aimed to investigate informal textual descriptions and informal graphical MLOps system architecture representations and compare them with semi-formal MLOps system diagrams for those systems. We report on a controlled experiment with sixty-three participants investigating the understandability of MLOps system architecture descriptions based on informal and semi-formal representations. The results indicate that the understandability (quantified by task correctness) of MLOps system descriptions is significantly greater using supplementary semi-formal MLOps system diagrams, that using semi-formal MLOps system diagrams does not significantly increase task duration (and thus hinder understanding), and that task correctness is only significantly correlated with task duration when semi-formal MLOps system diagrams are provided."
https://arxiv.org/abs/2308.10908,MLOps: A Review,S. Wazir; Gautam Siddharth Kashyap; P. Saxena,"Recently, Machine Learning (ML) has become a widely accepted method for significant progress that is rapidly evolving. Since it employs computational methods to teach machines and produce acceptable answers. The significance of the Machine Learning Operations (MLOps) methods, which can provide acceptable answers for such problems, is examined in this study. To assist in the creation of software that is simple to use, the authors research MLOps methods. To choose the best tool structure for certain projects, the authors also assess the features and operability of various MLOps methods. A total of 22 papers were assessed that attempted to apply the MLOps idea. Finally, the authors admit the scarcity of fully effective MLOps methods based on which advancements can self-regulate by limiting human engagement."
https://pmc.ncbi.nlm.nih.gov/articles/PMC11004236,Resilience-aware MLOps for AI-based medical diagnostic system,Viacheslav Moskalenko; Vyacheslav Kharchenko,"Background The healthcare sector demands a higher degree of responsibility, trustworthiness, and accountability when implementing Artificial Intelligence (AI) systems. Machine learning operations (MLOps) for AI-based medical diagnostic systems are primarily focused on aspects such as data quality and confidentiality, bias reduction, model deployment, performance monitoring, and continuous improvement. However, so far, MLOps techniques do not take into account the need to provide resilience to disturbances such as adversarial attacks, including fault injections, and drift, including out-of-distribution. This article is concerned with the MLOps methodology that incorporates the steps necessary to increase the resilience of an AI-based medical diagnostic system against various kinds of disruptive influences. Methods Post-hoc resilience optimization, post-hoc predictive uncertainty calibration, uncertainty monitoring, and graceful degradation are incorporated as additional stages in MLOps. To optimize the resilience of the AI based medical diagnostic system, additional components in the form of adapters and meta-adapters are utilized. These components are fine-tuned during meta-training based on the results of adaptation to synthetic disturbances. Furthermore, an additional model is introduced for post-hoc calibration of predictive uncertainty. This model is trained using both in-distribution and out-of-distribution data to refine predictive confidence during the inference mode. Results The structure of resilience-aware MLOps for medical diagnostic systems has been proposed. Experimentally confirmed increase of robustness and speed of adaptation for medical image recognition system during several intervals of the system’s life cycle due to the use of resilience optimization and uncertainty calibration stages. The experiments were performed on the DermaMNIST dataset, BloodMNIST and PathMNIST. ResNet-18 as a representative of convolutional networks and MedViT-T as a representative of visual transformers are considered. It is worth noting that transformers exhibited lower resilience than convolutional networks, although this observation may be attributed to potential imperfections in the architecture of adapters and meta-adapters. Сonclusion The main novelty of the suggested resilience-aware MLOps methodology and structure lie in the separating possibilities and activities on creating a basic model for normal operating conditions and ensuring its resilience and trustworthiness. This is significant for the medical applications as the developer of the basic model should devote more time to comprehending medical field and the diagnostic task at hand, rather than specializing in system resilience. Resilience optimization increases robustness to disturbances and speed of adaptation. Calibrated confidences ensure the recognition of a portion of unabsorbed disturbances to mitigate their impact, thereby enhancing trustworthiness."
https://doi.org/10.1007/s43681-023-00392-4,Toward a safe MLOps process for the continuous development and safety assurance of ML-based systems in the railway domain,Marc Zeller; T. Waschulzik; Reiner Schmid; Claus Bahlmann,
https://doi.org/10.1145/3625289,"A Joint Study of the Challenges, Opportunities, and Roadmap of MLOps and AIOps: A Systematic Survey",Josu Díaz-de-Arcaya; Ana I. Torre-Bastida; Gorka Zárate; Raúl Miñón; Aitor Almeida,"Data science projects represent a greater challenge than software engineering for organizations pursuing their adoption. The diverse stakeholders involved emphasize the need for a collaborative culture in organizations. This article aims to offer joint insights into the role of MLOps and AIOps methodologies for raising the success of data science projects in various fields, ranging from pure research to more traditional industries. We analyze the open issues, opportunities, and future trends organizations face when implementing MLOps and AIOps. Then, the frameworks and architectures that promote these paradigms are presented, as are the different fields in which they are being utilized. This systematic review was conducted using an automated procedure that identified 44,903 records, which were filtered down to 93 studies. These articles are meant to better clarify the problem at hand and highlight the future areas in both research and industry in which MLOPs and AIOps are thriving. Our findings indicate that AIOps flourish in challenging circumstances like those presented by 5G and 6G technologies, whereas MLOps is more prevalent in traditional industrial environments. The use of AIOps in certain stages of the ML lifecycle, such as deployment, remains underrepresented in scientific literature."
https://doi.org/10.3390/app14093725,Integrating Machine Learning and MLOps for Wind Energy Forecasting: A Comparative Analysis and Optimization Study on Türkiye’s Wind Data,Saadin Oyucu; Ahmet Aksöz,"This study conducted a detailed comparative analysis of various machine learning models to enhance wind energy forecasts, including linear regression, decision tree, random forest, gradient boosting machine, XGBoost, LightGBM, and CatBoost. Furthermore, it developed an end-to-end MLOps pipeline leveraging SCADA data from a wind turbine in Türkiye. This research not only compared models using the RMSE metric for selection and optimization but also explored in detail the impact of integrating machine learning with MLOps on the precision of energy production forecasts. It investigated the suitability and efficiency of ML models in predicting wind energy with MLOps integration. The study explored ways to improve LightGBM algorithm performance through hyperparameter tuning and Docker utilization. It also highlighted challenges in speeding up MLOps development and deployment processes. Model performance was assessed using the RMSE metric, conducting a comparative evaluation across different models. The findings revealed that the RMSE values among the regression models ranged from 460 kW to 192 kW. Focusing on enhancing LightGBM, the research decreased the RMSE value to 190.34 kW. Despite facing technical and operational hurdles, the implementation of MLOps was proven to enhance the speed (latency of 9 ms), reliability (through Docker encapsulation), and scalability (using Docker swarm) of machine learning endeavors."
https://doi.org/10.1145/3643691.3648584,Towards Trustworthy AI Engineering - A Case Study on integrating an AI audit catalog into MLOps processes,Lennard Helmer; Claudio Martens; Dennis Wegener; M. Akila; Daniel Becker; S. Abbas,"In recent years, Machine Learning Operations (MLOps) has become increasingly important as more and more Machine Learning (ML) based applications are brought into production. With this widespread, attention must be paid to the application’s trustworthiness. Numerous methods and tools have already been developed in the area of trustworthy AI. However, the integration of those into the MLOps cycle and in particular into the pipeline engineering process is missing. To address this open problem, we analysed an AI audit catalog and translated the respective requirements into a healthcare IT service provider’s MLOps process. In this work, we describe the translation process and present the insights obtained via a case study. Our work highlights the necessary considerations for professionals and the scientific community when dealing with similar challenges in Trustworthy AI engineering and operations and provides clear recommendations.CCS CONCEPTS• Software and its engineering → Agile software development."
https://doi.org/10.1109/MS.2023.3310768,Training Future Machine Learning Engineers: A Project-Based Course on MLOps,F. Lanubile; Silverio Martínez-Fernández; L. Quaranta,"In this paper, we present an overview of a project-based course on MLOps by showcasing a couple of sample projects developed by our students. Additionally, we share the lessons learned from offering the course at two different institutions."
https://habr.com/ru/companies/vk/news/838528/,Вебинар «От сырых данных до готового AI-сервиса за 10 минут»,Zoran-1975,"Привет, Хабр! 30 августа в 17:00 будем разбирать и выполнять тестовое задание ML-инженера в BigTech. Читать дальше →"
https://habr.com/ru/companies/selectel/news/727660/,Препарируем MLOps в бесплатном курсе: 7 полезных материалов о дисциплине и инструментах для работы с ML-моделями,erbanovanastasia,"Привет, Хабр! У нас вышел новый бесплатный образовательный курс — «Выстраиваем работу с ML». В нем мы подробно рассматриваем концепцию MLOps и рассказываем об инструментах для работы с ML-моделями. Изучение всех материалов займет около трех часов. Под катом рассказываем, что вас ждет на курсе.Читать дальше →"
https://habr.com/ru/companies/epam_systems/news/575438/,Обсуждаем в онлайне MLops: что собой представляет этот подход и как его запустить,vesyolkinaolga,"В США есть местность под названием Четыре угла (Four Corners). Там сходятся в одной точке штаты Колорадо, Нью-Мексико, Аризона и Юта. Американцы любят фотографироваться там, лёжа на земле, раскинув руки и ноги, чтобы каждая конечность оказалась в своём штате.DevOps и Machine Learning — две популярных области в современной IT-индустрии. Если соединить их, мы попадём в Four Corners сегодняшнего IT. Здесь в одной точке сходятся люди, технологии, процессы и продукты. Эта точка называется MLops, а человек, раскинувший свои компетенции по всем четырём областям, становится уникальным специалистом, каких несколько лет назад ещё не существовало.В эфире вебкаста Хабр ПРО мы побеседуем о том, удобно ли лежится на границе четырёх штатов, как правильно выстроить отношения с разными командами, с чего начать изучение MLops и какие задачи эти практики решают. Об этом расскажут Михаил Толмачев, Head of Computer Vision, и Евгений Кожевников, Senior Data Solution Architect.Читать далее"
https://habr.com/ru/companies/yandex_praktikum/news/911050/,MLOps для разработки и мониторинга: новый курс в Практикуме,ira-k,"Мы запустили курс «MLOps для разработки и мониторинга». Это 5 месяцев обучения лучшим практикам, а ещё — работа в готовой облачной инфраструктуре и 7 проектов в портфолио.Читать далее"
https://habr.com/ru/news/571236/,Вебинар «The A-Z of Data: Introduction to MLOps»,m31,"Привет, друзья! Команда Data Phoenix Events приглашает всех, 17 августа в 19:00, на первый вебинар из серии ""The A-Z of Data"", который будет посвящен MLOps. В рамках вводного вебинара ""The A-Z of Data: Introduction to MLOps"", мы рассмотрим, что такое MLOps, основные принципы и практики, лучшие инструменты и возможные архитектуры. Заинтригованы? Дальше ещё круче! Мы начнем с простого жизненного цикла разработки ML решений и закончим сложным, максимально автоматизированным, циклом, который нам позволяет реализовать MLOps.Читать далее"
https://habr.com/ru/companies/vk/news/700934/,Вебинар «MLOps в облаке: практика с MLflow и JupyterHub в VK Cloud» 29 ноября,Alyona_Plekhanova,"MLOps помогает построить прозрачный и эффективный процесс работы с ML-решениями в компаниях, где в разработке, тестировании, развертывании и поддержке ML-моделей участвуют разнопрофильные специалисты. Как правило, чем больше проектов, тем важнее четкие и прозрачные процессы. 

Присоединяйтесь к вебинару «MLOps в облаке: практика с MLflow и JupyterHub в VK Cloud». Вы узнаете, как сочетание Cloud-Native- и MLOps-подходов позволяет ускорить процессы на всех этапах работы с ML-моделями и быстрее получить бизнес-результат. 

Эксперты расскажут, как с помощью инструментов JupyterHub и MLflow проводить эксперименты с моделями, организовывать трекинг моделей и артефактов, загружать и применять модели из центрального реестра MLflow на примере сервиса Cloud ML Platform.
Читать дальше →"
https://habr.com/ru/companies/vtb/news/762384/,"MLOps, часть II: погружаемся в специфику работы с данными",VTB,"Друзья, продолжая наш подкаст-проект «Деньги любят техно», мы рады представить вам вторую часть большой темы про MLOps, которую мы разбили на несколько эпизодов. Сегодня мы ещё глубже погружаемся в тему машинного обучения и работы с данными, лежащей в основе ML. Рассматриваем вопросы обогащения данных, разбираемся с разметкой, говорим о специфических аспектах управления данными. Юрий Карев, руководитель управления процессов и стандартов моделирования и машинного обучения ВТБ, и Алексей Незнанов, к.т.н, старший научный сотрудник международной лаборатории интеллектуальных систем и структурного анализа НИУ ВШЭ, подошли к теме с двух сторон: теоретической и практической. Помогли ведущей подкаста разобраться с терминологией. А также поговорили про специфику подходов к образованию для специалистов в Data Science, DataOps и MLOps. В этом выпуске вы услышите..."
https://habr.com/ru/companies/vk/news/694716/,В облаке VK Cloud появился инструмент MLflow для MLOps,yrepear,"В ML Platform от VK Cloud теперь доступен MLflow — нативный инструмент для управления жизненным циклом моделей машинного обучения. Сейчас можно бесплатно протестировать на платформе VK Cloud.

MLflow позволяет реализовать концепцию MLOps: отслеживать работу с ML-моделями и воспроизводить эксперименты с данными, деплоить ML-модели и организовывать совместную работу команд над задачами по ML и Data Science. Это сокращает время выпуска моделей в продакшен и позволяет стандартизировать процессы машинного обучения в компании.Читать дальше →"
https://habr.com/ru/companies/epam_systems/articles/593575/,Что такое практики MLOps и как их запустить,vesyolkinaolga,"В этой статье мы ответим на главные вопросы о новом явлении в мире IT ― MLOps, с чем придётся столкнуться тем, кто решил поставить работу с данными на поток и захочет применить на практике подход MLops.  На вопросы отвечают Head of Computer Vision EPAM Михаил Толмачев и Senior Data Solution Architect Евгений Кожевников. Михаил Толмачев отвечает за интеграцию продукта клиентов, он расскажет, какие задачи решает MLOps и когда он нужен. Евгений Кожевников занимается архитектурой дата-ориентированных проектов, он расскажет, как правильно выстроить взаимодействие между командами и с чего начать изучение MLOps.Полное интервью смотрите на канале Хабр. Читать далее"
https://habr.com/ru/companies/otus/articles/854734/,Операции машинного обучения (MLOps) для начинающих: полное внедрение проекта,kmoseenk,"Разработка, развёртывание и поддержка моделей машинного обучения в продакшене может быть сложной и трудоёмкой задачей. Здесь на помощь приходит Machine Learning Operations (MLOps) — набор практик, который автоматизирует управление ML-процессами и упрощает развёртывание моделей. В этой статье я расскажу о некоторых основных практиках и инструментах MLOps на примере реализации проекта от начала до конца. Это поможет вам эффективнее управлять ML-проектами, начиная с разработки и заканчивая мониторингом в продакшене.Прочитав эту статью, вы узнаете, как:— Использовать DVC для версионирования данных.— Отслеживать логи, артефакты и регистрировать версии моделей с помощью MLflow.— Развернуть модель с помощью FastAPI, Docker и AWS ECS.— Отслеживать модель в продакшене с помощью Evidently AI.Читать далее"
